application_status,license_type,APPLICATION_CLASSIFICATION,APPROVED_LICENSE_TYPE,Approved_License_Stages,lic_status,license_number,business_name,establishment_city,establishment_state,establishment_zipcode,latitude,longitude,business_address_1,business_address_2,business_city,business_state,business_zipcode,geocoded_county,geocoded_address,mailing_address_1,mailing_address_2,mailing_city,mailing_state,mailing_zipcode,EIN_TIN,APPLICATION_NUMBER,ORIGINAL_SUBMITTED_DATE,SUBMITTED_DATE,FIRST_COMPLIANCE_REVIEW_DATE,LIC_FEE_PAYMENT_SUBMITTED_DATE,PRIORITY,FEE_WAIVER_REQUEST,FEE_WAIVER_EE_OR_SE_NUMBER,APPROVED_SOCIAL_EQUITY,EE_PRIORITY_STATUS,EE_PRIORITY_NUMBER_FROM_ACCOUNT,EE_PRIORITY_NUMBER_FROM_APPLICATION,RMD_PRIORITY_STATUS,RMD_PRIORITY_NUMBER_FROM_ACCOUNT,RMD_PRIORITY_NUMBER_FROM_APPLICATION,dbe,cultivation_environment,cultivation_tier,CNB_INITIAL_DATE_OF_REVIEW,CNB_DATE_NOTICE_SENT_TO_MUNICIPALITY,CNB_60_DAY_MUNICIPAL_DEADLINE_DATE,CNB_90_DAY_REVIEW_DEADLINE_DATE,CNB_DATE_BACKGROUND_AUTHORIZATION_SENT,CNB_DATE_BACKGROUND_REPORT_RECEIVED,CNB_FINGER_PRINT_RESULTS_RECEIVED_DATE,CNB_FINAL_APPLICATION_REVIEW,CNB_APPLICATION_RECOMMENDATION,CNB_FINAL_INSPECTION_RESULT,CNB_FINAL_LICENSE_RECOMMENDATION,cnb_dt_of_final_licensure,APPLICATION_CREATED_DATE,CNB_DEEMED_COMPLETE_DATE,APPLICATION_APPROVED_DATE,LIC_START_DATE,LIC_EXPIRATION_DATE,APPLICATION_DENIED_DATE,CCCUpdateDate,ESTABLISHMENT_ADDRESS,ESTABLISHMENT_ADDRESS_2,ESTABLISHMENT_COUNTY,PMT_AMOUNT,LIC_FEE_AMOUNT,ZIP,Town,county,county_lat,county_long,Region,ID
PENDING,Marijuana Transporter with Other Existing ME License,Expedited Review - DBE Status,IN PROCESS,IN PROCESS,INCOMPLETE,MX281413,"FitzCanna, Inc",Clinton,MA,01510,42.412954,-71.679018,"75 Green Street, Suite 5",,Clinton,MA,01510,POINT (-71.840209 42.329642),POINT (-71.679017 42.4129539),60 Bolton Station Road,,Lancaster,MA,01523,87-1573192,MXN281413,11/23/2022 01:44:02 PM,1/31/2023 11:06:56 AM,12/8/2022 03:57:03 PM,,,no,,,,,,,,,Woman-Owned Business,,,,,,,,,,,,,,,6/18/2022 08:26:45 AM,2/3/2023 09:06:17 AM,,,,,4/24/2023,75 Green St,N/A,Worcester County,,0,01510,Clinton,Worcester,42.329642,-71.840209,Central MA,198
REOPENED,Marijuana Product Manufacturer,Expedited Review - Social Equity Participant,IN PROCESS,IN PROCESS,INCOMPLETE,MP281865,"Izapa Stela 5, LLC",Winchendon,,01475,,,703 School St,,Winchendon,MA,01475,POINT (-71.840209 42.329642),,703 School St,,Winchendon,MA,01475,84-2784794,MPN281865,10/7/2022 02:07:06 PM,2/16/2023 02:04:41 PM,12/5/2022 11:51:17 AM,,,yes,SE304282,SE304282,,,,,,,Minority-Owned Business,,,,,,,,,,,,,,,3/29/2020 12:08:22 PM,,,,,,,,,,,0,01475,Winchendon,Worcester,42.329642,-71.840209,Central MA,188
REOPENED,Marijuana Courier,Expedited Review - Two or More,IN PROCESS,IN PROCESS,INCOMPLETE,DO100158,"WeeDeliver, LLC",Worcester,,01605,,,640 Lincoln St,,Worcester,MA,01605,POINT (-71.840209 42.329642),,430 Truman HWY,,Milton,MA,02186,87-2195863,DOA100158,6/1/2022 09:57:00 AM,9/11/2022 08:55:39 PM,6/14/2022 01:49:49 PM,,,,SE303936,,,,,,,,Minority-Owned Business | Woman-Owned Business,,,,,,,,,,,,,,,12/14/2021 11:52:14 AM,,,,,,,,,,,0,01605,Worcester,Worcester,42.329642,-71.840209,Central MA,248
REOPENED,Marijuana Cultivator,Expedited Review - DBE Status,IN PROCESS,IN PROCESS,INCOMPLETE,MC282745,"HTC Trinity, LLC",Taunton,,02780,,,491 West Water Street,,Taunton,MA,02780,POINT (-71.102131 41.778329),,38 Evergreen Drive,,Taunton,MA,02780,84-3322458,MCN282745,1/22/2021 01:46:13 AM,1/22/2021 01:46:13 AM,1/28/2021 09:18:46 AM,,,yes,SE304620,SE304620,,,,,,,Minority-Owned Business | Woman-Owned Business,Indoor,"Tier 06: 40,001 to 50,000 sq. ft",,,,,,,,,,,,,4/14/2020 06:43:53 PM,,,,,,,,,,,0,02780,Taunton,Bristol,41.778329,-71.102131,Southeast and Cape,698
REOPENED,Marijuana Courier Pre-Certification,Expedited Review - Social Equity Participant,IN PROCESS,IN PROCESS,INCOMPLETE,PDO103323,Strain LLC,N/A,,N/A,,,12 W. Main Street,,Boston,MA,02126,,,12 W. Main,,Mattapan,MA,02126,84-3410607,PDOA103323,5/24/2021 02:42:51 PM,5/24/2021 02:42:51 PM,6/1/2021 02:15:19 PM,,,,SE303904,,,,,,,,"Lesbian, Gay, Bisexual, and Transgender Owned Business | Minority-Owned Business | Woman-Owned Business",,,,,,,,,,,,,,,11/30/2020 11:20:56 AM,,,,,,,,,,,0,,,,,,,
REOPENED,Marijuana Retailer,Priority Review - MTC Priority,IN PROCESS,IN PROCESS,INCOMPLETE,MR282870,"Seven Point of Massachusetts, Inc.",Middleborough,,02346,,,461 Wareham Street,,Middleborough,MA,02346,POINT (-70.818958 41.978877),,93 Route 37,,Edgewood,IL,62426,47-4699898,MRN282870,1/21/2021 05:30:58 PM,5/23/2022 10:57:47 AM,1/25/2021 01:12:23 PM,,,no,,,,,,,,,Not a DBE,,,,,,,,,,,,,,,7/17/2019 12:31:24 PM,,,,,,,,,,,0,02346,Middleboro,Plymouth,41.978877,-70.818958,,528
REOPENED,Marijuana Cultivator,General Applicant,IN PROCESS,IN PROCESS,INCOMPLETE,MC283693,Oyster River Clothing Company,Chatham,,02633,,,1369 Main Street,,Chatham,MA,02633,POINT (-70.301811 41.698999),,1369 Main Street,,chatham,MA,02633,83-4621181,MCN283693,2/10/2022 04:56:52 PM,2/10/2022 04:56:52 PM,2/18/2022 11:50:53 AM,,,no,,,,,,,,,Disability-Owned Business,Indoor,"Tier 01: up to 5,000 square feet",,,,,,,,,,,,,2/10/2022 04:24:14 PM,,,,,,,,,,,0,02633,Chatham,Barnstable,41.698999,-70.301811,Southeast and Cape,621
REOPENED,Marijuana Product Manufacturer,General Applicant,IN PROCESS,IN PROCESS,INCOMPLETE,MP281341,"Stoned Puppy, LLC",Northampton,,01060,,,20 Ladd Ave,Suite 102,Northampton,MA,01062,POINT (-72.62073 42.322256),,30 Parkview Terrace,,Bayonne,NJ,07002,83-1046131,MPN281341,8/10/2018 12:39:36 PM,8/10/2018 12:39:36 PM,9/14/2018 12:00:00 AM,,,,,,,,,,,,"Lesbian, Gay, Bisexual, and Transgender Owned Business | Minority-Owned Business",,,,,,,,,,,,,,,5/11/2018 11:23:15 AM,,,,,,,,,,,0,01060,Northampton,Hampshire,42.322256,-72.62073,Western MA,39
REOPENED,Marijuana Courier Pre-Certification,Expedited Review - Social Equity Participant,IN PROCESS,IN PROCESS,INCOMPLETE,PDO103133,Boston Bud Factory,N/A,,N/A,,,460 Race St,,Holyoke,MA,01040,,,37 Commercial St,,Holyoke,MA,01040,83-0540049,PDOA103133,8/16/2020 08:29:04 PM,9/20/2021 06:17:31 PM,8/18/2020 08:42:09 AM,,,,SE304718,SE304718,,,,,,,Not a DBE,,,,,,,,,,,,,,,6/15/2020 10:01:10 PM,,,,,,,,,,,0,,,,,,,
REOPENED,Marijuana Retailer,Expedited Review - Social Equity Participant,IN PROCESS,IN PROCESS,INCOMPLETE,MR284322,"Evoke, Inc.",Boston,,02124,,,1102 Blue HIll Avenue,,Boston,MA,02124,POINT (-71.073493 42.334948),,23 Alpine Street,,Roxbury,MA,02119,84-3219765,MRN284322,8/8/2021 03:35:22 PM,1/6/2022 12:03:45 PM,8/11/2021 02:57:37 PM,,,yes,SE303542,SE303542,,,,,,,Not a DBE,,,,,,,,,,,,,,,7/9/2021 11:48:05 AM,,,,,,,,,,,0,02124,Boston,Suffolk,42.334948,-71.073493,Metro Boston,435
REOPENED,Marijuana Cultivator,General Applicant,IN PROCESS,IN PROCESS,INCOMPLETE,MC283632,Tetrahydra Agtek,Becket,,01223,,,0 Quarry Road,,Becket,MA,01223,POINT (-73.209889 42.396128),,123 B Seaview Ave.,,South Yarmouth,MA,02664,86-2608124,MCN283632,2/15/2022 01:54:04 PM,2/15/2022 01:54:04 PM,2/24/2022 10:35:29 AM,,,no,,,,,,,,,Veteran-Owned Business | Minority-Owned Business,Indoor,"Tier 11: 90,001 to 100,000 sq. ft",,,,,,,,,,,,,10/21/2021 09:04:53 AM,,,,,,,,,,,0,01223,Becket,Berkshire,42.396128,-73.209889,Western MA,100
REOPENED,Marijuana Cultivator,Expedited Review - DBE Status,IN PROCESS,IN PROCESS,INCOMPLETE,MC283698,Queens Bridge Group Incorporation,Norton,,02766,,,263 Cole Street,,Seekonk,MA,02771,POINT (-71.102131 41.778329),,263 Cole Street,,Seekonk,MA,02771,86-1193476,MCN283698,4/7/2022 12:50:42 PM,8/9/2022 02:53:00 PM,4/11/2022 04:08:49 PM,,,no,,,,,,,,,Minority-Owned Business | Woman-Owned Business,Indoor,"Tier 03: 10,001 to 20,000 sq. ft",,,,,,,,,,,,,2/28/2022 12:06:36 PM,,,,,,,,,,,0,02766,Norton,Bristol,41.778329,-71.102131,Southeast and Cape,690
REOPENED,Marijuana Delivery Operator Pre-Certification,Expedited Review - Social Equity Participant,IN PROCESS,IN PROCESS,INCOMPLETE,PMD6028,GreenDaze,N/A,,N/A,,,52 Osborne Terrace,,Springfield,MA,01104,,,52 Osborne Terrace,,Springfield,MA,01104,87-1453004,PMDA6028,7/7/2022 10:59:07 PM,7/19/2022 04:14:12 PM,8/2/2022 09:32:54 AM,,,,SE305243,SE305243,,,,,,,Not a DBE,,,,,,,,,,,,,,,6/30/2022 09:41:45 AM,,,,,,,,,,,0,,,,,,,
REOPENED,Marijuana Cultivator,General Applicant,IN PROCESS,IN PROCESS,INCOMPLETE,MC283529,Cannaverse LLC,Seekonk,,02771,,,1543 Fall River Avenue,Suite 1,Seekonk,MA,02771,POINT (-71.102131 41.778329),,1543 Fall River Avenue,Suite 1,Seekonk,MA,02771,85-4342976,MCN283529,3/10/2023 04:12:51 PM,3/10/2023 04:12:51 PM,3/15/2023 04:34:10 PM,,,no,,,,,,,,,Not a DBE,Indoor,"Tier 02: 5,001 to 10,000 sq. ft.",,,,,,,,,,,,,5/31/2021 04:03:20 PM,,,,,,,,,,,0,02771,Seekonk,Bristol,41.778329,-71.102131,Southeast and Cape,695
REOPENED,Marijuana Microbusiness,Expedited Review - License Type,IN PROCESS,IN PROCESS,INCOMPLETE,MB281539,NOREASTER REMEDIES LLC,Leicester,,01611,,,424 Main St,,Cherry Valley,MA,01611,POINT (-71.840209 42.329642),,29 Briarcliff Dr,,Westfield,MA,01085,83-3134473,MBN281539,1/31/2019 04:31:52 PM,1/31/2019 04:31:52 PM,9/10/2019 12:00:00 AM,,,,,,,,,,,,Not a DBE,,,,,,,,,,,,,,,1/25/2019 02:15:38 PM,,,,,,,,,,,0,01611,Cherry Valley,Worcester,42.329642,-71.840209,,254
REOPENED,Marijuana Retailer,General Applicant,IN PROCESS,IN PROCESS,INCOMPLETE,MR284578,"Calyx Peak of MA,Inc.",Arlington,,02474,,,PO BOX 1358,,Mansfield,MA,02048,POINT (-71.275566 42.459085),,PO BOX 1358,,Mansfield,MA,02048,81-4672257,MRN284578,9/8/2022 01:25:57 PM,12/16/2022 11:07:19 AM,9/13/2022 01:38:09 PM,,,no,,,,,,,,,Not a DBE,,,,,,,,,,,,,,,1/31/2022 03:13:42 PM,,,,,,,,,,,0,02474,Arlington,Middlesex,42.459085,-71.275566,Northeast,575
REOPENED,Marijuana Retailer,General Applicant,IN PROCESS,IN PROCESS,INCOMPLETE,MR282615,ORGANIC CHEMISTRY LLC,Pittsfield,,01201,,,68 Dalton Avenue,,Pittsfield,MA,01201,POINT (-73.209889 42.396128),,15 Charisma Drive,,Pittsfield,MA,01201,84-1857729,MRN282615,8/14/2019 03:24:34 PM,8/14/2019 03:24:34 PM,2/6/2020 12:00:00 AM,,,,,,,,,,,,Minority-Owned Business,,,,,,,,,,,,,,,4/18/2019 09:00:20 AM,,,,,,,,,,,0,01201,Pittsfield,Berkshire,42.396128,-73.209889,Western MA,95
REOPENED,Marijuana Retailer,Expedited Review - Social Equity Participant,IN PROCESS,IN PROCESS,INCOMPLETE,MR281932,Byron Investment Group LLC.,Boston,,02124,,,1098 Blue Hill avenue,,Boston,MA,02124,POINT (-71.073493 42.334948),,23 Alpine street,,Roxbury,MA,02119,82-4283795,MRN281932,6/24/2021 07:12:00 PM,6/24/2021 07:12:00 PM,,,,yes,SE303542,SE303542,,,,,,,Not a DBE,,,,,,,,,,,,,,,9/27/2018 08:22:13 PM,,,,,,,,,,,0,02124,Boston,Suffolk,42.334948,-71.073493,Metro Boston,435
REOPENED,Marijuana Cultivator,General Applicant,IN PROCESS,IN PROCESS,INCOMPLETE,MC281475,Hooligans Enterprises LLC,Gloucester,,01930,,,4 Woodholm Rd,,Manchester-By-The-Sea,MA,01944,POINT (-70.970827 42.635475),,4 Woodholm rd,,Manchester-By-The-Sea,MA,01944,82-5278068,MCN281475,9/17/2018 02:01:24 AM,9/17/2018 02:01:24 AM,12/16/2018 12:00:00 AM,,,,,,,,,,,,Not a DBE,Indoor,"Tier 01: up to 5,000 square feet",,,,,,,,,,,,,5/23/2018 10:04:06 AM,,,,,,,,,,,0,01930,Gloucester,Essex,42.635475,-70.970827,Northeast,357
REOPENED,Marijuana Cultivator,Priority Review - MTC Priority,IN PROCESS,IN PROCESS,INCOMPLETE,MC282151,"Middlesex Integrative Medicine, Inc.",Leominster,,01453,,,155 Federal Street,Suite 402,Boston,MA,02110,POINT (-71.840209 42.329642),,155 Federal Street,Suite 402,Boston,MA,02110,46-3441347,MCN282151,7/7/2020 01:45:10 PM,7/7/2020 01:45:10 PM,7/9/2020 04:16:03 PM,,True,no,,,,,,APPROVED,RP201900,RPA201900,Not a DBE,Indoor,"Tier 03: 10,001 to 20,000 sq. ft",,,,,,,,,,,,,5/17/2019 10:09:49 AM,,,,,,,,,,,0,01453,Leominster,Worcester,42.329642,-71.840209,Central MA,175
REOPENED,Marijuana Product Manufacturer,General Applicant,IN PROCESS,IN PROCESS,INCOMPLETE,MP281458,"Late Spring, Inc. d/b/a Gage Cannabis Company",Ayer,,01432,,,38 Littleton Rd,,Ayer,MA,01432,POINT (-71.275566 42.459085),,38 Littleton Rd,,Ayer,MA,01432,82-5274353,MPN281458,10/23/2018 01:45:17 PM,11/9/2018 09:56:55 AM,3/21/2019 12:00:00 AM,,True,,,,,,,APPROVED,RP201835,RP201835,Not a DBE,,,,,,,,,,,,,,,8/8/2018 12:29:56 PM,,,,,,,,,,,0,01432,Ayer,Middlesex,42.459085,-71.275566,Central MA,166
REOPENED,Marijuana Delivery Operator Pre-Certification,Expedited Review - Social Equity Participant,IN PROCESS,IN PROCESS,INCOMPLETE,PMD5976,Greens On Time LLC,N/A,,N/A,,,20 SENATOR BOILING CIR,,Boston,MA,02124,,,20 SENATOR BOILING CIR,,Boston,MA,02124,87-3571599,PMDA5976,1/25/2022 07:30:00 PM,1/25/2022 07:30:00 PM,2/8/2022 01:09:29 PM,,,,SE305804,SE305804,,,,,,,Minority-Owned Business | Woman-Owned Business,,,,,,,,,,,,,,,12/12/2021 04:55:41 PM,,,,,,,,,,,0,,,,,,,
PENDING,Marijuana Courier,Expedited Review - Social Equity Participant,IN PROCESS,IN PROCESS,INCOMPLETE,DO100152,Blazin' D's Delivery LLC,Taunton,,02780,,,144 W. Britannia St.,,Taunton,MA,02780,POINT (-71.102131 41.778329),,144 W. Britannia St.,,Taunton,MA,02780,85-3628011,DOA100152,9/28/2022 10:05:38 PM,1/11/2023 06:24:41 PM,10/26/2022 04:07:22 PM,,,,SE304196,SE304196,,,,,,,Not a DBE,,,,,,,,,,,,,,,9/22/2021 08:58:09 PM,2/3/2023 09:05:21 AM,,,,,,,,,,0,02780,Taunton,Bristol,41.778329,-71.102131,Southeast and Cape,698
REOPENED,Marijuana Cultivator,Expedited Review - Two or More,IN PROCESS,IN PROCESS,INCOMPLETE,MC282711,"Izapa Stela 5, LLC",Winchendon,,01475,,,703 School St,,Winchendon,MA,01475,POINT (-71.840209 42.329642),,703 School St,,Winchendon,MA,01475,84-2784794,MCN282711,10/7/2022 01:58:19 PM,2/16/2023 02:04:28 PM,12/5/2022 11:50:21 AM,,,yes,SE304282,SE304282,,,,,,,Minority-Owned Business,Indoor,"Tier 01: up to 5,000 square feet",,,,,,,,,,,,,3/27/2020 08:20:24 PM,,,,,,,,,,,0,01475,Winchendon,Worcester,42.329642,-71.840209,Central MA,188
REOPENED,Third Party Marijuana Transporter,,IN PROCESS,IN PROCESS,INCOMPLETE,MT281684,FASTEDDYBOSTON LLC,Dracut,,01826,,,24 Richmond ave,,Lowell,MA,01852,POINT (-71.275566 42.459085),,176 D street,,Dracut,MA,01825,83-3222324,MTN281684,10/26/2021 02:52:18 PM,10/26/2021 02:52:18 PM,,,,yes,SE305297,SE305297,,,,,,,Minority-Owned Business | Veteran-Owned Business | Woman-Owned Business,,,,,,,,,,,,,,,10/25/2021 06:12:42 PM,,,,,,,,,,,0,01826,Dracut,Middlesex,42.459085,-71.275566,Northeast,306
REOPENED,Marijuana Delivery Operator Pre-Certification,Expedited Review - Social Equity Participant,IN PROCESS,IN PROCESS,INCOMPLETE,PMD6001,"Terpene Journey, LLC",N/A,,N/A,,,430 Paradise Road,,Swampscott,MA,01907,,,430 Paradise Road,,Swampscott,MA,01907,82-4853848,PMDA6001,5/10/2022 02:10:19 AM,5/10/2022 02:10:19 AM,5/20/2022 01:20:49 PM,,,,SE303603,SE303603,,,,,,,"Lesbian, Gay, Bisexual, and Transgender Owned Business",,,,,,,,,,,,,,,3/29/2022 10:34:57 PM,,,,,,,,,,,0,,,,,,,
REOPENED,Marijuana Product Manufacturer,General Applicant,IN PROCESS,IN PROCESS,INCOMPLETE,MP282239,Euphoric Bliss,Boston,,02114,,,90 Canal St,4th Floor,Boston,MA,02114,POINT (-71.073493 42.334948),,90 Canal St,4th Floor,Boston,MA,02114,87-4781626,MPN282239,11/9/2022 06:53:58 PM,11/9/2022 06:53:58 PM,11/30/2022 09:18:41 AM,,,no,,,,,,,,,Veteran-Owned Business | Not a DBE,,,,,,,,,,,,,,,10/18/2022 03:21:38 PM,,,,,,,,,,,0,02114,Boston,Suffolk,42.334948,-71.073493,Metro Boston,425
REOPENED,Marijuana Retailer,General Applicant,IN PROCESS,IN PROCESS,INCOMPLETE,MR283634,Cannabis Healing LLC,Boston,,02128,,,2A-4 Neptune Road,,Boston,MA,02128,POINT (-71.073493 42.334948),,111 Cumberland Road,,Leominster,MA,01453,85-2998047,MRN283634,2/14/2023 02:31:05 PM,4/10/2023 11:20:37 AM,2/27/2023 12:09:43 PM,,,no,,,,,,,,,Not a DBE,,,,,,,,,,,,,,,6/30/2020 02:21:02 PM,,,,,,,,,,,0,02128,Boston,Suffolk,42.334948,-71.073493,Metro Boston,439
REOPENED,Marijuana Courier,Expedited Review - Social Equity Participant,IN PROCESS,IN PROCESS,INCOMPLETE,DO100163,Finest Trees LLC,Shrewsbury,,01545,,,34-36 Harrington Avenue,,Shrewsbury,MA,01545,POINT (-71.840209 42.329642),,34-36 Harrington Avenue,,Shrewsbury,MA,01545,87-3421302,DOA100163,3/1/2023 09:20:44 PM,4/12/2023 05:08:08 PM,3/6/2023 04:30:04 PM,,,,SE305165,SE305165,,,,,,,Not a DBE,,,,,,,,,,,,,,,1/26/2022 02:49:00 PM,,,,,,,,,,,0,01545,Shrewsbury,Worcester,42.329642,-71.840209,Central MA,224
REOPENED,Marijuana Research Facility,General Applicant,IN PROCESS,IN PROCESS,INCOMPLETE,RE281343,Cannabis Center of Excellence Inc.,Uxbridge,,01569,,,80 Piers Park Lane,Apt 3409,Boston,MA,02128,POINT (-71.840209 42.329642),,80 Piers Park Lane,Apt 3409,Boston,MA,02128,83-2619053,REN281343,3/30/2022 01:49:01 PM,3/30/2022 01:49:01 PM,4/14/2022 01:34:18 PM,,,no,,,,,,,,,Not a DBE,,,,,,,,,,,,,,,12/5/2021 02:21:59 PM,,,,,,,,,,,0,01569,Uxbridge,Worcester,42.329642,-71.840209,Central MA,233
PENDING,Marijuana Delivery Operator,Expedited Review - Social Equity Participant,IN PROCESS,IN PROCESS,INCOMPLETE,MD1326,"M2B Home Delivery, Inc.",Greenfield,,01301,,,139 Silvio O Conte Drive,,Greenfield,MA,01301,POINT (-72.573941 42.587072),,312 Davis St,,Greenfield,MA,01301,88-3218696,MDA1326,3/6/2023 05:11:49 PM,4/12/2023 04:40:13 PM,3/9/2023 04:30:07 PM,,,,SE305884,SE305884,,,,,,,Not a DBE,,,,,,,,,,,,,,,1/4/2023 09:08:50 AM,4/21/2023 10:22:20 AM,,,,,,,,,,0,01301,Greenfield,Franklin,42.587072,-72.573941,Western MA,132
PENDING,Marijuana Cultivator,General Applicant,IN PROCESS,IN PROCESS,INCOMPLETE,MC283819,"Elevated, Inc.",Clinton,MA,01510,42.420705,-71.689258,223 MEADOW NECK ROAD,,Falmouth,MA,02536,POINT (-71.840209 42.329642),POINT (-71.689257 42.4207049),223 MEADOW NECK ROAD,,Falmouth,MA,02536,85-2144857,MCN283819,1/13/2023 09:43:09 AM,3/3/2023 04:30:56 PM,1/24/2023 04:15:16 PM,,,no,,,,,,,,,Not a DBE,Indoor,"Tier 11: 90,001 to 100,000 sq. ft",,,,,,,,,,,,,11/30/2022 08:17:16 PM,3/10/2023 11:29:50 AM,,,,,4/24/2023,56 Sterling St,N/A,Worcester County,,0,01510,Clinton,Worcester,42.329642,-71.840209,Central MA,198
REOPENED,Marijuana Retailer,Expedited Review - Social Equity Participant,IN PROCESS,IN PROCESS,INCOMPLETE,MR284471,"Idealbudz, LLC",Attleboro,,02703,,,20 John Williams Street,,Attleboro,MA,02703,POINT (-71.102131 41.778329),,106 Park Street,Apartment 1,Attleboro,MA,02703,87-2156745,MRN284471,3/1/2022 05:05:04 PM,3/1/2022 05:05:04 PM,3/22/2022 11:47:11 AM,,,yes,SE304715,SE304715,,,,,,,Not a DBE,,,,,,,,,,,,,,,10/28/2021 03:07:10 PM,,,,,,,,,,,0,02703,Attleboro,Bristol,41.778329,-71.102131,Southeast and Cape,659
REOPENED,Marijuana Research Facility,General Applicant,IN PROCESS,IN PROCESS,INCOMPLETE,RE281292,Integrated Genetics and Bio,Leicester,,01611,,,488 Stafford St.,,Cherry Valley,MA,01611,POINT (-71.840209 42.329642),,488 S,,C,MA,01611,83-1689666,REN281292,12/10/2018 06:34:03 PM,12/10/2018 06:34:03 PM,9/15/2021 03:22:55 PM,,,,,,,,,,,,Not a DBE,,,,,,,,,,,,,,,11/23/2018 10:39:51 AM,,,,,,,,,,,0,01611,Cherry Valley,Worcester,42.329642,-71.840209,,254
REOPENED,Marijuana Courier Pre-Certification,Expedited Review - Social Equity Participant,IN PROCESS,IN PROCESS,INCOMPLETE,PDO103042,AJR Delivery y,N/A,,N/A,,,20 Herbert Avenue,,Saugus,MA,01906,,,20 Herbert Avenue,,Saugus,MA,01906,85-1224332,PDOA103042,10/24/2020 02:18:54 PM,10/24/2020 02:18:54 PM,10/27/2020 11:03:26 AM,,,,SE303733,SE303733,,,,,,,Not a DBE,,,,,,,,,,,,,,,5/28/2020 09:18:09 PM,,,,,,,,,,,0,,,,,,,
PENDING,Marijuana Retailer,Priority Review - Economic Empowerment Priority,IN PROCESS,IN PROCESS,INCOMPLETE,MR284855,"GreenSoul Organics, Inc.",Cambridge,MA,02139,42.36657,-71.105351,251 Little Falls Drive,,Wilmington,DE,02130,POINT (-71.275566 42.459085),POINT (-71.105350 42.3665700),24 Sigourney Street,Unit 2,Jamaica Plain,MA,02130,87-3993992,MRN284855,1/20/2023 07:05:58 PM,3/2/2023 05:37:01 PM,1/31/2023 10:58:15 AM,,True,yes,EE202243,,,,EEA202243,,,,Not a DBE,,,,,,,,,,,,,,,1/17/2023 10:56:54 AM,3/3/2023 09:17:15 AM,,,,,4/24/2023,759 Massachusetts Ave,N/A,Middlesex County,,0,02139,Cambridge,Middlesex,42.459085,-71.275566,Metro Boston,450
REOPENED,Marijuana Retailer,Priority Review - Economic Empowerment Priority,IN PROCESS,IN PROCESS,INCOMPLETE,MR281242,JOF ENTERPRISE INC,Boston,,02122,,,133 CLARENDON #171319,,BOSTON,MA,02117,POINT (-71.073493 42.334948),,133 CLARENDON,,BOSTON,MA,02117,46-5286856,MRN281242,10/19/2018 01:03:25 PM,10/19/2018 01:03:25 PM,10/23/2018 12:00:00 AM,,True,,,,APPROVED,EE201954,EE201954,,,,Minority-Owned Business,,,,,,,,,,,,,,,4/17/2018 12:07:30 PM,,,,,,,,,,,0,02122,Boston,Suffolk,42.334948,-71.073493,Metro Boston,433
PENDING,Marijuana Courier,Expedited Review - Social Equity Participant,IN PROCESS,IN PROCESS,INCOMPLETE,DO100168,Mononc Labs LLC,Northampton,,01060,,,567 Pleasant St STE 8,,Brockton,MA,02301,POINT (-72.62073 42.322256),,567 Pleasant St STE 8,,Brockton,MA,02301,00-1436101,DOA100168,6/4/2022 07:16:38 PM,3/14/2023 11:17:45 PM,6/7/2022 01:38:14 PM,,,,SE303897,SE303897,,,,,,,Not a DBE,,,,,,,,,,,,,,,4/13/2022 01:18:15 PM,3/17/2023 09:24:05 AM,,,,,,,,,,0,01060,Northampton,Hampshire,42.322256,-72.62073,Western MA,39
REOPENED,Marijuana Delivery Operator,Expedited Review - Two or More,IN PROCESS,IN PROCESS,INCOMPLETE,MD1300,Teddy's Veggie Farm LLC,Worcester,,01608,,,203 Greenville Street,,Spencer,MA,01562,POINT (-71.840209 42.329642),,203 Greenville Street,,Spencer,MA,01562,83-0794085,MDA1300,6/29/2022 04:28:15 AM,7/6/2022 02:11:55 PM,7/6/2022 11:39:14 AM,,,,SE304749,SE304749,,,,,,,Minority-Owned Business,,,,,,,,,,,,,,,3/5/2022 03:18:42 AM,,,,,,,,,,,0,01608,Worcester,Worcester,42.329642,-71.840209,Central MA,251
REOPENED,Marijuana Cultivator,General Applicant,IN PROCESS,IN PROCESS,INCOMPLETE,MC283808,"Arefa, LLC",Leicester,,01611,,,424 Main St.,,Leicester,MA,01611,POINT (-71.840209 42.329642),,41 Midgley Ln.,,Worcester,MA,01604,86-2576808,MCN283808,3/3/2023 03:32:28 PM,3/3/2023 03:32:28 PM,,,,no,,,,,,,,,Not a DBE,Indoor,"Tier 02: 5,001 to 10,000 sq. ft.",,,,,,,,,,,,,11/3/2022 10:05:43 AM,,,,,,,,,,,0,01611,Cherry Valley,Worcester,42.329642,-71.840209,,254
REOPENED,Marijuana Cultivator,General Applicant,IN PROCESS,IN PROCESS,INCOMPLETE,MC283153,Small Wonder Cultivation,Holyoke,,01040,,,715 Nottingham Road,,Newark,DE,19711,POINT (-72.571312 42.12756),,109 Lyman Street,,Holyoke,MA,01040,86-1551306,MCN283153,11/14/2022 03:59:48 PM,11/14/2022 03:59:48 PM,11/28/2022 02:41:18 PM,,,no,,,,,,,,,Veteran-Owned Business,Indoor,"Tier 01: up to 5,000 square feet",,,,,,,,,,,,,11/2/2020 09:15:06 PM,,,,,,,,,,,0,01040,Holyoke,Hampden,42.12756,-72.571312,Western MA,31
